Excitation Laser,Emission filter set,Low intensity ERF,Medium intensity ERF,High intensity ERF,NIST reference fluorophore
405 nm,440/50,7.01E+04,4.24E+06,2.09E+07,Coumarin 30
405 nm,512/25,3.54E+04,1.29E+06,8.86E+06,Coumarin 30
405 nm,603/48,1.30E+04,4.56E+05,1.24E+07,Pacific Orange
405 nm,615/24,1.13E+04,4.00E+05,1.37E+07,Pacific Orange
405 nm,670/30,8.00E+03,3.98E+05,1.61E+07,Pacific Orange
405 nm,710/50,2.51E+04,5.03E+05,2.30E+07,Pacific Orange
405 nm,720/60,2.63E+04,5.16E+05,2.38E+07,Pacific Orange
488 nm,525/35,1.85E+03,6.34E+04,4.62E+05,Fluorescein
488 nm,530/30,2.38E+03,8.03E+04,6.17E+05,Fluorescein
488 nm,574/26,1.25E+05,4.50E+06,3.12E+07,Nile Red
488 nm,593/52,3.88E+04,1.39E+06,1.08E+07,Nile Red
488 nm,590/40,4.09E+04,1.52E+06,1.17E+07,Nile Red
488 nm,695/40,1.37E+04,4.66E+05,5.91E+06,Nile Red
488 nm,780/60,1.49E+04,5.47E+05,9.46E+06,Nile Red
561 nm,585/16,4.54E+04,1.34E+06,8.85E+06,Nile Red
561 nm,620/15,2.45E+04,7.26E+05,5.37E+06,Nile Red
561 nm,670/30,2.61E+04,8.08E+05,6.54E+06,Nile Red
561 nm,695/40,2.59E+04,8.18E+05,7.32E+06,Nile Red
561 nm,720/60,2.62E+04,8.41E+05,7.99E+06,Nile Red
561 nm,780/60,3.75E+04,1.09E+06,1.15E+07,Nile Red
561 nm,789/78,3.75E+04,1.09E+06,1.15E+07,Nile Red
633 nm,660/20,1.32E+03,3.91E+04,2.00E+05,APC
633 nm,670/14,2.08E+03,6.32E+04,3.49E+05,APC
633 nm,670/30,1.93E+03,5.88E+04,3.27E+05,APC
633 nm,720/30,2.96E+04,8.51E+05,6.14E+06,Alexa Fluor 700
633 nm,780/60,1.82E+04,5.47E+05,4.09E+06,Alexa Fluor 700
